Tree,Location,Timestamp,Depth,Moisture,Temperature
FB2,Inner,2023-07-29T08:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T08:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T09:59:00Z,1,1.8,21
FB2,Inner,2023-07-29T09:59:00Z,2,10.2,21.2
FB2,Inner,2023-07-29T09:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T09:59:00Z,4,21.2,20.8
FB2,Inner,2023-07-29T09:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T09:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T09:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T10:59:00Z,1,1.8,21.1
FB2,Inner,2023-07-29T10:59:00Z,2,10.2,21.2
FB2,Inner,2023-07-29T10:59:00Z,3,9,21
FB2,Inner,2023-07-29T10:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-29T10:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T10:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T10:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T11:59:00Z,1,1.7,21.3
FB2,Inner,2023-07-29T11:59:00Z,2,10.2,21.3
FB2,Inner,2023-07-29T11:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T11:59:00Z,4,21.1,21
FB2,Inner,2023-07-29T11:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T11:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T11:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T12:59:00Z,1,1.6,21.6
FB2,Inner,2023-07-29T12:59:00Z,2,10.2,21.3
FB2,Inner,2023-07-29T12:59:00Z,3,9,21
FB2,Inner,2023-07-29T12:59:00Z,4,21.3,21
FB2,Inner,2023-07-29T12:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T12:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T12:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T13:59:00Z,1,1.6,22
FB2,Inner,2023-07-29T13:59:00Z,2,10.2,21.3
FB2,Inner,2023-07-29T13:59:00Z,3,9,21
FB2,Inner,2023-07-29T13:59:00Z,4,21.3,20.8
FB2,Inner,2023-07-29T13:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T13:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T13:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T14:59:00Z,1,1.5,22.2
FB2,Inner,2023-07-29T14:59:00Z,2,10.2,21.5
FB2,Inner,2023-07-29T14:59:00Z,3,9,21
FB2,Inner,2023-07-29T14:59:00Z,4,21.2,20.8
FB2,Inner,2023-07-29T14:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T14:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T14:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T15:59:00Z,1,1.5,22.7
FB2,Inner,2023-07-29T15:59:00Z,2,10.2,21.6
FB2,Inner,2023-07-29T15:59:00Z,3,9,21
FB2,Inner,2023-07-29T15:59:00Z,4,21.2,21
FB2,Inner,2023-07-29T15:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T15:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T15:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T16:59:00Z,1,1.4,22.6
FB2,Inner,2023-07-29T16:59:00Z,2,10.2,21.7
FB2,Inner,2023-07-29T16:59:00Z,3,9,21.1
FB2,Inner,2023-07-29T16:59:00Z,4,21.3,21
FB2,Inner,2023-07-29T16:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T16:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T16:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T17:59:00Z,1,1.5,22.3
FB2,Inner,2023-07-29T17:59:00Z,2,10.2,21.7
FB2,Inner,2023-07-29T17:59:00Z,3,9,21.1
FB2,Inner,2023-07-29T17:59:00Z,4,21.3,21
FB2,Inner,2023-07-29T17:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T17:59:00Z,6,27.9,21
FB2,Inner,2023-07-29T17:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T18:59:00Z,1,1.5,22.1
FB2,Inner,2023-07-29T18:59:00Z,2,10.2,21.8
FB2,Inner,2023-07-29T18:59:00Z,3,9,21.1
FB2,Inner,2023-07-29T18:59:00Z,4,21.3,21
FB2,Inner,2023-07-29T18:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T18:59:00Z,6,27.9,20.8
FB2,Inner,2023-07-29T18:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T19:59:00Z,1,1.5,22
FB2,Inner,2023-07-29T19:59:00Z,2,10.2,21.8
FB2,Inner,2023-07-29T19:59:00Z,3,9,21.1
FB2,Inner,2023-07-29T19:59:00Z,4,21.2,21
FB2,Inner,2023-07-29T19:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T19:59:00Z,6,27.8,21
FB2,Inner,2023-07-29T19:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T20:59:00Z,1,1.6,21.7
FB2,Inner,2023-07-29T20:59:00Z,2,10.2,21.8
FB2,Inner,2023-07-29T20:59:00Z,3,9,21.1
FB2,Inner,2023-07-29T20:59:00Z,4,21.2,21
FB2,Inner,2023-07-29T20:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T20:59:00Z,6,27.9,20.8
FB2,Inner,2023-07-29T20:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T21:59:00Z,1,1.6,21.6
FB2,Inner,2023-07-29T21:59:00Z,2,10.3,21.8
FB2,Inner,2023-07-29T21:59:00Z,3,9,21.2
FB2,Inner,2023-07-29T21:59:00Z,4,21.2,21
FB2,Inner,2023-07-29T21:59:00Z,5,37.2,21
FB2,Inner,2023-07-29T21:59:00Z,6,27.9,20.8
FB2,Inner,2023-07-29T21:59:00Z,7,NA,20.7
